name	link	movie_title	num_votes	num_comments	mbti
Jack Napier "Joker"	https://www.personality-database.com/profile/21999/jack-napier-joker-batman-19891992-mbti-personality-type	Batman (1989-1992)	195	10	ENTJ
Zatanna Zatara	https://www.personality-database.com/profile/2028/zatanna-zatara-dc-comics-mbti-personality-type	DC Comics	137	5	ISFP
Dark Knight Returns Batman	https://www.personality-database.com/profile/72618/dark-knight-returns-batman-dc-comics-mbti-personality-type	DC Comics	199	31	ENTJ
Ororo Munroe “Storm”	https://www.personality-database.com/profile/521/ororo-munroe-storm-xmen-cinematic-universe-20002009-mbti-personality-type	X-Men Cinematic Universe (2000-2009)	125	5	ISFJ
Dru-Zod "General Zod"	https://www.personality-database.com/profile/2339/druzod-general-zod-dc-extended-universe-mbti-personality-type	DC Extended Universe	154	16	ESTJ
Kurt Wagner “Nightcrawler”	https://www.personality-database.com/profile/3250/kurt-wagner-nightcrawler-xmen-cinematic-universe-20112020-mbti-personality-type	X-Men Cinematic Universe (2011-2020)	124	2	INFP
Mera	https://www.personality-database.com/profile/22448/mera-dc-extended-universe-mbti-personality-type	DC Extended Universe	154	6	ISFP
Eobard Thawne "Reverse-Flash"	https://www.personality-database.com/profile/4276/eobard-thawne-reverseflash-the-flash-2014-mbti-personality-type	The Flash (2014)	166	10	INTJ
Luke Cage	https://www.personality-database.com/profile/1951/luke-cage-luke-cage-2016-mbti-personality-type	Luke Cage (2016)	146	11	ISFJ
Bart Allen "Impulse" / "Kid Flash"	https://www.personality-database.com/profile/7092/bart-allen-impulse-kid-flash-young-justice-2010-mbti-personality-type	Young Justice (2010)	117	10	ENTP
Roy Harper "Arsenal"	https://www.personality-database.com/profile/34844/roy-harper-arsenal-dc-comics-mbti-personality-type	DC Comics	117	9	ENTP
Kyle Rayner "Green Lantern"	https://www.personality-database.com/profile/37403/kyle-rayner-green-lantern-dc-comics-mbti-personality-type	DC Comics	118	4	INFP
Nathaniel Heywood "Citizen Steel"	https://www.personality-database.com/profile/4059/nathaniel-heywood-citizen-steel-legends-of-tomorrow-2016-mbti-personality-type	Legends of Tomorrow (2016)	59	2	ENFJ
Jeri Hogarth	https://www.personality-database.com/profile/4075/jeri-hogarth-jessica-jones-2015-mbti-personality-type	Jessica Jones (2015)	106	3	ENTJ
Malcolm Ducasse	https://www.personality-database.com/profile/1954/malcolm-ducasse-jessica-jones-2015-mbti-personality-type	Jessica Jones (2015)	76	3	ISFP
Jack Duquesne	https://www.personality-database.com/profile/424319/jack-duquesne-hawkeye-2021-mbti-personality-type	Hawkeye (2021)	89	9	ENFJ
Martin Stein	https://www.personality-database.com/profile/1970/martin-stein-legends-of-tomorrow-2016-mbti-personality-type	Legends of Tomorrow (2016)	76	0	INTP
Mick Rory "Heat Wave"	https://www.personality-database.com/profile/1979/mick-rory-heat-wave-legends-of-tomorrow-2016-mbti-personality-type	Legends of Tomorrow (2016)	74	1	ESTP
Muneeba Khan	https://www.personality-database.com/profile/314496/muneeba-khan-ms-marvel-mbti-personality-type	Ms. Marvel	79	2	ISTJ
Alex Summers “Havok”	https://www.personality-database.com/profile/10442/alex-summers-havok-xmen-cinematic-universe-20112020-mbti-personality-type	X-Men Cinematic Universe (2011-2020)	70	2	ESTP
Ororo Munroe "Storm"	https://www.personality-database.com/profile/46774/ororo-munroe-storm-marvel-comics-mbti-personality-type	Marvel Comics	63	1	ENFJ
Peter Parker "Spider Man"	https://www.personality-database.com/profile/393593/peter-parker-spider-man-what-if-2021-mbti-personality-type	What If...? (2021)	85	11	ENFP
Peter Parker “Spider-Man Noir”	https://www.personality-database.com/profile/205185/peter-parker-spiderman-noir-marvel-comics-mbti-personality-type	Marvel Comics	58	24	INFJ
Dick Grayson “Nightwing”	https://www.personality-database.com/profile/532288/dick-grayson-nightwing-harley-quinn-2019-mbti-personality-type	Harley Quinn (2019)	58	5	ENTP
Logan "Wolverine"	https://www.personality-database.com/profile/11220/logan-wolverine-xmen-evolution-mbti-personality-type	X-Men: Evolution	68	2	ISTP
Ororo Munroe "Storm"	https://www.personality-database.com/profile/11221/ororo-munroe-storm-xmen-evolution-mbti-personality-type	X-Men: Evolution	53	3	INTJ
Sebastian Shaw	https://www.personality-database.com/profile/60324/sebastian-shaw-xmen-cinematic-universe-20112020-mbti-personality-type	X-Men Cinematic Universe (2011-2020)	65	0	ENTJ
Peter Parker "Spider-Man" Symbiote	https://www.personality-database.com/profile/31067/peter-parker-spiderman-symbiote-the-spectacular-spiderman-2008-mbti-personality-type	The Spectacular Spider-Man (2008)	63	4	ESTJ
