name	link	movie_title	num_votes	num_comments	mbti
Sarah Lynn	https://www.personality-database.com/profile/6933/sarah-lynn-bojack-horseman-2014-mbti-personality-type	BoJack Horseman (2014)	1.5k	150	ESTP
Jesus “Soos” Ramirez	https://www.personality-database.com/profile/1233/jesus-soos-ramirez-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	1.1k	118	ENFP
Dream (Dream SMP)	https://www.personality-database.com/profile/253556/dream-dream-smp-dream-smp-mbti-personality-type	Dream SMP	642	120	ENTJ
Alastor	https://www.personality-database.com/profile/27633/alastor-hazbin-hotel-2019-mbti-personality-type	Hazbin Hotel (2019)	1.2k	166	ENTP
Noah	https://www.personality-database.com/profile/8593/noah-total-drama-2007-mbti-personality-type	Total Drama (2007)	998	97	INTJ
Charlie Brown	https://www.personality-database.com/profile/9825/charlie-brown-peanuts-mbti-personality-type	Peanuts	695	99	INFP
Evil Morty	https://www.personality-database.com/profile/19267/evil-morty-rick-and-morty-2013-mbti-personality-type	Rick and Morty (2013)	732	90	INTJ
Raine Whispers	https://www.personality-database.com/profile/340399/raine-whispers-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	666	140	INFJ
Blake Belladonna	https://www.personality-database.com/profile/3677/blake-belladonna-rwby-2012-mbti-personality-type	RWBY (2012)	606	83	INFJ
Heavy	https://www.personality-database.com/profile/137006/heavy-metal-family-mbti-personality-type	Metal Family	472	71	ESFP
Alador Blight	https://www.personality-database.com/profile/201378/alador-blight-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	445	45	INTP
Bandit Heeler (Dad)	https://www.personality-database.com/profile/47415/bandit-heeler-dad-bluey-mbti-personality-type	Bluey	147	21	ENTP
Pearl	https://www.personality-database.com/profile/1272/pearl-steven-universe-2013-mbti-personality-type	Steven Universe (2013)	2k	257	ISTJ
Apple White	https://www.personality-database.com/profile/55332/apple-white-ever-after-high-2013-mbti-personality-type	Ever After High (2013)	1.9k	278	ESFJ
Kyle Broflovski	https://www.personality-database.com/profile/1308/kyle-broflovski-south-park-1997-mbti-personality-type	South Park (1997)	2.1k	303	INFJ
Finn "the Human" Mertens	https://www.personality-database.com/profile/1259/finn-the-human-mertens-adventure-time-2010-mbti-personality-type	Adventure Time (2010)	1.8k	231	ESFP
Leopold “Butters” Stotch	https://www.personality-database.com/profile/1741/leopold-butters-stotch-south-park-1997-mbti-personality-type	South Park (1997)	1.6k	136	INFP
Bart Simpson	https://www.personality-database.com/profile/1290/bart-simpson-the-simpsons-1989-mbti-personality-type	The Simpsons (1989)	1.6k	175	ESTP
Perry the Platypus	https://www.personality-database.com/profile/2731/perry-the-platypus-phineas-and-ferb-2007-mbti-personality-type	Phineas and Ferb (2007)	1.2k	109	ISTP
Summer Smith	https://www.personality-database.com/profile/3192/summer-smith-rick-and-morty-2013-mbti-personality-type	Rick and Morty (2013)	908	67	ESTP
Duncan	https://www.personality-database.com/profile/8583/duncan-total-drama-2007-mbti-personality-type	Total Drama (2007)	1.3k	98	ESTP
Blitzø	https://www.personality-database.com/profile/70349/blitz-helluva-boss-2019-mbti-personality-type	Helluva Boss (2019)	1.3k	207	ENTP
Brian Griffin	https://www.personality-database.com/profile/1295/brian-griffin-family-guy-1999-mbti-personality-type	Family Guy (1999)	1k	252	INTP
Jerry Smith	https://www.personality-database.com/profile/3191/jerry-smith-rick-and-morty-2013-mbti-personality-type	Rick and Morty (2013)	817	179	ESFJ
Gary the Snail	https://www.personality-database.com/profile/16352/gary-the-snail-spongebob-squarepants-1999-mbti-personality-type	SpongeBob SquarePants (1999)	918	145	INTP
Tom the Cat	https://www.personality-database.com/profile/29337/tom-the-cat-tom-and-jerry-mbti-personality-type	Tom and Jerry	920	52	ESFP
