name	link	movie_title	num_votes	num_comments	mbti
Oliver	https://www.personality-database.com/profile/19813/oliver-call-me-by-your-name-2017-mbti-personality-type	Call Me by Your Name (2017)	1.1k	149	ENTP
Frank Abagnale Jr.	https://www.personality-database.com/profile/34037/frank-abagnale-jr-catch-me-if-you-can-2002-mbti-personality-type	Catch Me If You Can (2002)	1.1k	131	ESTP
Mike Wazowski	https://www.personality-database.com/profile/10517/mike-wazowski-monsters-inc-2001-mbti-personality-type	Monsters, Inc. (2001)	1.3k	291	ENTJ
Donkey	https://www.personality-database.com/profile/1936/donkey-shrek-franchise-mbti-personality-type	Shrek (Franchise)	1.2k	144	ESFP
Padmé Amidala	https://www.personality-database.com/profile/62/padm-amidala-star-wars-mbti-personality-type	Star Wars	1.3k	84	ENFJ
Jack Skellington	https://www.personality-database.com/profile/762/jack-skellington-the-nightmare-before-christmas-1993-mbti-personality-type	The Nightmare Before Christmas (1993)	1.2k	108	ENTP
Fitzwilliam Darcy	https://www.personality-database.com/profile/7575/fitzwilliam-darcy-pride-and-prejudice-2005-mbti-personality-type	Pride and Prejudice (2005)	1.2k	116	INTJ
George Weasley	https://www.personality-database.com/profile/719/george-weasley-harry-potter-wizarding-world-films-mbti-personality-type	Harry Potter / Wizarding World Films	1.1k	44	ENTP
Remy	https://www.personality-database.com/profile/10522/remy-ratatouille-2007-mbti-personality-type	Ratatouille (2007)	1.2k	203	ISFP
Sherlock Holmes	https://www.personality-database.com/profile/5485/sherlock-holmes-sherlock-holmes-mbti-personality-type	Sherlock Holmes	880	147	ENTP
John Wick	https://www.personality-database.com/profile/9972/john-wick-john-wick-mbti-personality-type	John Wick	951	194	ISTP
Patrick Verona	https://www.personality-database.com/profile/15565/patrick-verona-10-things-i-hate-about-you-1999-mbti-personality-type	10 Things I Hate About You (1999)	1k	78	ISTP
John Keating	https://www.personality-database.com/profile/12061/john-keating-dead-poets-society-1989-mbti-personality-type	Dead Poets Society (1989)	1.3k	124	ENFP
Riley Andersen	https://www.personality-database.com/profile/12585/riley-andersen-inside-out-2015-mbti-personality-type	Inside Out (2015)	1.1k	117	ISFP
Travis Bickle	https://www.personality-database.com/profile/4450/travis-bickle-taxi-driver-1976-mbti-personality-type	Taxi Driver (1976)	1.3k	306	ISTP
ᾍδης (Hades)	https://www.personality-database.com/profile/7077/-hades-hercules-franchise-mbti-personality-type	Hercules (franchise)	909	98	ENTP
Will Hunting	https://www.personality-database.com/profile/10425/will-hunting-good-will-hunting-1997-mbti-personality-type	Good Will Hunting (1997)	1k	348	INTP
Brian Johnson	https://www.personality-database.com/profile/2925/brian-johnson-the-breakfast-club-1985-mbti-personality-type	The Breakfast Club (1985)	952	92	ISFJ
Li Shang	https://www.personality-database.com/profile/908/li-shang-mulan-1998-mbti-personality-type	Mulan (1998)	930	50	ESTJ
Raya	https://www.personality-database.com/profile/184516/raya-raya-and-the-last-dragon-2021-mbti-personality-type	Raya and the Last Dragon (2021)	994	202	ISTP
Marlin	https://www.personality-database.com/profile/3071/marlin-finding-nemo-franchise-mbti-personality-type	Finding Nemo (Franchise)	919	110	ISTJ
Katie Mitchell	https://www.personality-database.com/profile/299097/katie-mitchell-the-mitchells-vs-the-machines-2021-mbti-personality-type	The Mitchells vs. the Machines (2021)	987	102	ENFP
Arthur Weasley	https://www.personality-database.com/profile/13732/arthur-weasley-harry-potter-wizarding-world-films-mbti-personality-type	Harry Potter / Wizarding World Films	749	70	INTP
Sharpay Evans	https://www.personality-database.com/profile/27289/sharpay-evans-high-school-musical-film-trilogy-mbti-personality-type	High School Musical (Film Trilogy)	1k	64	ENTJ
Baroness von Hellman	https://www.personality-database.com/profile/272914/baroness-von-hellman-cruella-2021-mbti-personality-type	Cruella (2021)	880	49	ESTJ
Lightning McQueen	https://www.personality-database.com/profile/13653/lightning-mcqueen-cars-franchise-mbti-personality-type	Cars (Franchise)	766	61	ESTP
Theodore “Laurie” Laurence	https://www.personality-database.com/profile/77754/theodore-laurie-laurence-little-women-2019-mbti-personality-type	Little Women (2019)	663	64	ISFP
Flint Lockwood	https://www.personality-database.com/profile/34669/flint-lockwood-cloudy-with-a-chance-of-meatballs-2009-mbti-personality-type	Cloudy with a Chance of Meatballs (2009)	731	105	ENFP
Jay Gatsby	https://www.personality-database.com/profile/36857/jay-gatsby-the-great-gatsby-2013-mbti-personality-type	The Great Gatsby (2013)	635	38	INFJ
Anne Shirley	https://www.personality-database.com/profile/925/anne-shirley-anne-of-green-gables-1985-mbti-personality-type	Anne of Green Gables (1985)	517	57	INFP
Sisu	https://www.personality-database.com/profile/184517/sisu-raya-and-the-last-dragon-2021-mbti-personality-type	Raya and the Last Dragon (2021)	642	64	ENFP
Claire Standish	https://www.personality-database.com/profile/2922/claire-standish-the-breakfast-club-1985-mbti-personality-type	The Breakfast Club (1985)	683	9	ESFJ
Marta Cabrera	https://www.personality-database.com/profile/69872/marta-cabrera-knives-out-2019-mbti-personality-type	Knives Out (2019)	653	42	ISFJ
Vincent Vega	https://www.personality-database.com/profile/4925/vincent-vega-pulp-fiction-1994-mbti-personality-type	Pulp Fiction (1994)	545	60	ISTP
Detective Benoit Blanc	https://www.personality-database.com/profile/63426/detective-benoit-blanc-knives-out-2019-mbti-personality-type	Knives Out (2019)	555	62	INTJ
Rafiki	https://www.personality-database.com/profile/871/rafiki-the-lion-king-franchise-mbti-personality-type	The Lion King (Franchise)	483	68	ENTP
Beatrix Kiddo "Black Mamba"	https://www.personality-database.com/profile/15618/beatrix-kiddo-black-mamba-kill-bill-2003-mbti-personality-type	Kill Bill (2003)	566	18	ISFP
Lily / The Black Swan	https://www.personality-database.com/profile/11344/lily-the-black-swan-black-swan-2010-mbti-personality-type	Black Swan (2010)	605	30	ESTP
